,Unnamed: 0,Company Name,BIN,Industry,Business,Program,Effective Date,Address,Postcode,Borough,Latitude,Longitude,Month Count,Periodic Savings,Total Tree Count within 0.5 Mile,Periodic Savings within 0.5 Mile
0,0,"139 ACA Realty, Inc.",4003160,Commercial,Limousine Service,ICIP,2008-04-07,43-23 35th Street,11101,QUEENS   ,40.745706,-73.929565,116,1068.75,683,1423.9318181818182
1,1,"141 Lake Avenue Realty c/o JR Produce, Inc.",5146740,Wholesale/Warehouse/Distribution,Dist. of prepacked salads,ICIP,2009-12-08,141 Lake Avenue,10303,STATEN IS,40.633153,-74.150999,96,494.93,21,336.525
2,2,14-10 123rd Street LLC,4098344,Commercial,Electrical Parts Mfg.,ICIP,2011-03-04,14-10 123rd Street,11356,QUEENS   ,40.785144,-73.844833,81,263.25,447,1079.3799999999999
3,3,183 Lorriane Street LLC,3336622,Wholesale/Warehouse/Distribution,Commercial Storage facility,ICIP,2015-11-06,183 Lorraine Street,11231,BROOKLYN ,40.673106,-74.0023,25,4200.66,224,2846.1657142857143
4,4,"21st Century Optics, Inc.",4003447,Manufacturing, Eye glasses,Tenant,2009-01-07,47-00 33rd Street,11101,QUEENS   ,40.742386,-73.932148,107,2016.42,658,1524.0191111111112
5,5,221 WEST 26TH STREET CORP.,1014235,Manufacturing,FILM & VIDEO PRODUCTION,ICIP,2004-12-14,221 WEST 26TH STREET,10001,MANHATTAN,40.746364,-73.995088,156,6184.09,55,3534.11
6,7,2840 Atlantic Avenue Realty Corp,3327100,Commercial,Real estate holding company,ICIP,2008-06-16,2840 Atlantic Avenue,11207,BROOKLYN ,40.676789,-73.889346,114,927.22,591,859.7333333333335
7,8,33RD STREET BAKERY INC. DBA PQ SOHO,4003432,Manufacturing,WHSLR. BREADS & PASTRY,ICIP,2009-04-08,43-32 33RD STREET,11101,QUEENS   ,40.745811,-73.931466,104,137.24,559,1520.4437777777782
8,9,4C FOODS CORP.,3098855,Manufacturing,"Iced tea mic, brad crumbs, grated cheese, dehydrated soup mix and seasoned coating mix",ICIP,2005-03-19,580 Fountain Ave.,11208,BROOKLYN ,40.665766,-73.87113199999997,153,7055.95,84,10377.226666666667
9,10,4Over4.com,4441806,Manufacturing,Printer,IDA,2008-04-09,19-41 46th Street,11105,QUEENS   ,40.77494,-73.896804,116,1459.78,421,2140.975
